keys,en,es,pl,de,ru,uk,ja,zh_CN,zh_TW
CREDITS_TEAM,"[b]Team:[/b]
  [color=black]David Snopek[/color] from [color=#1ea7e1][url=https://www.snopekgames.com]Snopek Games[/url][/color]: [color=black]Programming and Design[/color]
  [color=black]Ross Klettke[/color] from [color=#1ea7e1][url=https://www.whatnotory.com/]Whatnotory[/url][/color]:   [color=black]Additional Art Styles[/color]
  [color=black]Theanyelpes[/color] ([color=#1ea7e1][url=https://twitter.com/Theanyelpes]Twitter[/url][/color]):          [color=black]Spanish Translation[/color]

[b]Free assets:[/b]
  [color=#1ea7e1][url=https://www.kenney.nl/assets/topdown-tanks-redux]Top-down Tanks Redux[/url][/color] by [color=black]Kenney.nl[/color]
  [color=#1ea7e1][url=https://datagoblin.itch.io/monogram]Monogram font[/url][/color] by [color=black]datagoblin[/color]
  [color=#1ea7e1][url=https://poppyworks.itch.io/silver]Silver font[/url][/color] by [color=black]Poppy Works[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/sfx-the-ultimate-2017-16-bit-mini-pack]SFX: The Ultimate 2017 16 bit Mini pack[/url][/color] by [color=black]phoenix1291[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/engine-loop-heavy-vehicletank]Engine-loop heavy vehicle/tank[/url][/color] by [color=black]Nayckron[/color]
  [color=#1ea7e1][url=https://www.kenney.nl/assets/interface-sounds/]Interface Sounds[/url][/color] by [color=black]Kenney.nl[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/ciptuned-rock-tune]Chiptuned Rock Tune[/url][/color] by [color=black]Bertsz[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/5-chiptunes-action]5 Action Chiptunes[/url][/color] by [color=black]Juhani Junkala[/color]
  [color=#1ea7e1][url=https://sworndevelopment.itch.io/godot-splash-boot-video]Godot Splash Boot Video[/url][/color] by [color=black]SwornDevelopment[/color]
  [color=#1ea7e1][url=https://orangefreesounds.com/goal-horn-sound-effect/]Goal Horn Sound Effect[/url][/color] by [color=black]Alexander[/color]","[b]Equipo:[/b]
  [color=black]David Snopek[/color] de [color=#1ea7e1][url=https://www.snopekgames.com]Snopek Games[/url][/color]: [color=black]Programación y diseño[/color] 
  [color=black]Ross Klettke[/color] de [color=#1ea7e1][url=https://www.whatnotory.com/]Whatnotory[/url][/color]:   [color=black]Estilos de arte adicionales[/color]
  [color=black]Theanyelpes[/color] ([color=#1ea7e1][url=https://twitter.com/Theanyelpes]Twitter[/url][/color]):        [color=black]Traducción al español[/color]

[b]Materiales gratuitos:[/b]
  [color=#1ea7e1][url=https://www.kenney.nl/assets/topdown-tanks-redux]Top-down Tanks Redux[/url][/color] por [color=black]Kenney.nl[/color]
  [color=#1ea7e1][url=https://datagoblin.itch.io/monogram]Monogram font[/url][/color] de [color=black]datagoblin[/color]
  [color=#1ea7e1][url=https://poppyworks.itch.io/silver]Silver font[/url][/color] de [color=black]Poppy Works[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/sfx-the-ultimate-2017-16-bit-mini-pack]SFX: The Ultimate 2017 16 bit Mini pack[/url][/color] de [color=black]phoenix1291[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/engine-loop-heavy-vehicletank]Vehículo/tanque pesado con motor[/url][/color] de [color=black]Nayckron[/color] 
  [color=#1ea7e1][url=https://www.kenney.nl/assets/interface-sounds/]Sonidos de la interfaz[/url][/color] de [color=black]Kenney.nl[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/ciptuned-rock-tune]Chiptuned Rock Tune[/url][/color] de [color=black]Bertsz[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/5-chiptunes-action]5 Action Chiptunes[/url][/color] de [color=black]Juhani Junkala[/color]
  [color=#1ea7e1][url=https://sworndevelopment.itch.io/godot-splash-boot-video]Godot Splash Boot Video[/url][/color] por [color=black]SwornDevelopment[/color]
  [color=#1ea7e1][url=https://orangefreesounds.com/goal-horn-sound-effect/]Efecto de sonido del cuerno de la portería[/url][/color] by [color=black]Alexander[/color]","[b]Zespół:[/b]
 [color=black]David Snopek[/color] z [color=#1ea7e1][url=https://www.snopekgames.com]Snopek Games[/url][/color]: [color=black]programowanie i projektowanie[/color]
 [color=black]Ross Klettke[/color] z [color=#1ea7e1][url=https://www.whatnotory.com/]Whatnotory[/url][/color]:   [color=black]dodatkowe style graficzne[/color]
 [color=black]Theanyelpes[/color] ([color=#1ea7e1][url=https://twitter.com/Theanyelpes]Twitter[/url][/color]):       [color=black]hiszpańskie tłumaczenie[/color]

[b]Darmowe zasoby:[/b]
 [color=#1ea7e1][url=https://www.kenney.nl/assets/topdown-tanks-redux]Assety czołgów z góry (Top-down Tanks Redux)[/url][/color] autorstwa [color=black]Kenney.nl[/color]
 [color=#1ea7e1][url=https://datagoblin.itch.io/monogram]Monogramowa czcionka[/url][/color] autorstwa [color=black]datagoblin[/color]
 [color=#1ea7e1][url=https://poppyworks.itch.io/silver]Silver czcionka[/url][/color] autorstwa [color=black]Poppy Works[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/sfx-the-ultimate-2017-16-bit-mini-pack]Pakiet efektów specjalnych (SFX: The Ultimate 2017 16 bit Mini pack)[/url][/color] autorstwa [color=black]phoenix1291[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/engine-loop-heavy-vehicletank]Zapętlony dźwięk silnika ciężkiego pojazdu/czołgu[/url][/color] autorstwa [color=black]Nayckron[/color]
 [color=#1ea7e1][url=https://www.kenney.nl/assets/interface-sounds/]Dźwięki interfejsu[/url][/color] autorstwa [color=black]Kenney.nl[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/ciptuned-rock-tune]Rockowa melodia w stylu chiptune[/url][/color] autorstwa [color=black]Bertsz[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/5-chiptunes-action]5 melodii akcji w stylu chiptune (5 Action Chiptunes)[/url][/color] autorstwa [color=black]Juhani Junkala[/color]
 [color=#1ea7e1][url=https://sworndevelopment.itch.io/godot-splash-boot-video]Wideo z logo (Godot Splash Boot Video)[/url][/color] autorstwa [color=black]SwornDevelopment[/color]
 [color=#1ea7e1][url=https://orangefreesounds.com/goal-horn-sound-effect/]Efekt dźwiękowy klaksonu bramki[/url][/color] autorstwa [color=black]Alexander[/color]","[b]Team:[/b]
 [color=black]David Snopek[/color] von [color=#1ea7e1][url=https://www.snopekgames.com]Snopek Games[/url][/color]: [color=black]Programmierung und Design[/color]
 [color=black]Ross Klettke[/color] von [color=#1ea7e1][url=https://www.whatnotory.com/]Whatnotory[/url][/color]:   [color=black]Zusätzliche Kunststile[/color]
 [color=black]Theanyelpes[/color] ([color=#1ea7e1][url=https://twitter.com/Theanyelpes]Twitter[/url][/color]):         [color=black]Übersetzung ins Spanische[/color]

[b]Kostenlose Assets:[/b]
 [color=#1ea7e1][url=https://www.kenney.nl/assets/topdown-tanks-redux]Top-down Tanks Redux[/url][/color] von [color=black]Kenney.nl[/color]
 [color=#1ea7e1][url=https://datagoblin.itch.io/monogram]Monogram-Schriftart[/url][/color] von [color=black]datagoblin[/color]
 [color=#1ea7e1][url=https://poppyworks.itch.io/silver]Silver-Schriftart[/url][/color] von [color=black]Poppy Works[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/sfx-the-ultimate-2017-16-bit-mini-pack]SFX: Das ultimative 16-Bit-Mini-Pack 2017[/url][/color] von [color=black]phoenix1291[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/engine-loop-heavy-vehicletank]Motorschleife Schwerfahrzeug/Panzer[/url][/color] von [color=black]Nayckron[/color]
 [color=#1ea7e1][url=https://www.kenney.nl/assets/interface-sounds/]Interface-Sounds[/url][/color] von [color=black]Kenney.nl[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/ciptuned-rock-tune]Chipgetunte Rock-Melodie[/url][/color] von [color=black]Bertsz[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/5-chiptunes-action]5 Action-Chiptunes[/url][/color] von [color=black]Juhani Junkala[/color]
 [color=#1ea7e1][url=https://sworndevelopment.itch.io/godot-splash-boot-video]Godot Splash Boot Video[/url][/color] von [color=black]SwornDevelopment[/color]
 [color=#1ea7e1][url=https://orangefreesounds.com/goal-horn-sound-effect/]Torhorn-Soundeffekt[/url][/color] von [color=black]Alexander[/color]","[b]Команда:[/b]
 [color=black]Дэвид Снопек[/color] из [color=#1ea7e1][url=https://www.snopekgames.com]Snopek Games[/url][/color]: [color=black]программирование и дизайн [/color]
 [color=black]Росс Клеттке[/color] из [color=#1ea7e1][url=https://www.whatnotory.com/]Whatnotory[/url][/color]:   [color=black]дополнительные художественные стили [/color]
 [color=black]Theanyelpes[/color] ([color=#1ea7e1][url=https://twitter.com/Theanyelpes]Twitter[/url][/color]):        [color=black]перевод на испанский [/color]

[b]Бесплатные активы:[/b]
 [color=#1ea7e1][url=https://www.kenney.nl/assets/topdown-tanks-redux]Top-down Tanks Redux[/url][/color] от [color=black]Kenney.nl[/color]
 [color=#1ea7e1][url=https://datagoblin.itch.io/monogram]Шрифт Monogram[/url][/color] от [color=black]datagoblin[/color]
 [color=#1ea7e1][url=https://poppyworks.itch.io/silver]Шрифт Silver[/url][/color] от [color=black]Poppy Works[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/sfx-the-ultimate-2017-16-bit-mini-pack]16-битный мини-пакет SFX: The Ultimate 2017[/url][/color] от [color=black]phoenix1291[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/engine-loop-heavy-vehicletank]Engine-loop heavy vehicle/tank[/url][/color] от [color=black]Nayckron[/color]
 [color=#1ea7e1][url=https://www.kenney.nl/assets/interface-sounds/]Звуки для интерфейса[/url][/color] от [color=black]Kenney.nl[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/ciptuned-rock-tune]Мелодия Chiptuned Rock Tune[/url][/color] от [color=black]Bertsz[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/5-chiptunes-action]Мелодии 5 Action Chiptunes[/url][/color] от [color=black]Юхани Джункала[/color]
 [color=#1ea7e1][url=https://sworndevelopment.itch.io/godot-splash-boot-video]Видео Godot Splash Boot[/url][/color] от [color=black]SwornDevelopment[/color]
 [color=#1ea7e1][url=https://orangefreesounds.com/goal-horn-sound-effect/]Звуковой эффект Goal Horn[/url][/color] от [color=black]Александра[/color]","[b]Колектив:[/b]
 [color=black]Девід Снопек[/color] з компанії [color=#1ea7e1][url=https://www.snopekgames.com]Snopek Games[/url][/color]: [color=black]Програмування та дизайн[/color]
 [color=black]Рос Клетке[/color] з компанії [color=#1ea7e1][url=https://www.whatnotory.com/]Whatnotory[/url][/color]: [color=black]Додаткові художні стилі[/color]
 [color=black]Theanyelpes[/color] ([color=#1ea7e1][url=https://twitter.com/Theanyelpes]Twitter[/url][/color]): [color=black]Іспанський переклад[/color]

[b]Вільні активи:[/b]
 [color=#1ea7e1][url=https://www.kenney.nl/assets/topdown-tanks-redux]Танки Redux з видом зверху[/url][/color] від [color=black]Kenney.nl[/color]
 [color=#1ea7e1][url=https://datagoblin.itch.io/monogram]Шрифт монограми[/url][/color] від [color=black]datagoblin[/color]
 [color=#1ea7e1][url=https://poppyworks.itch.io/silver]Шрифт Silver[/url][/color] від [color=black]Poppy Works[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/sfx-the-ultimate-2017-16-bit-mini-pack]SFX: Максимальний 16-бітний міні-пакет 2017 року[/url][/color] від [color=black]phoenix1291[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/engine-loop-heavy-vehicletank]Важкий автомобіль/танк з циклічним двигуна[/url][/color] від [color=black]Nayckron[/color]
 [color=#1ea7e1][url=https://www.kenney.nl/assets/interface-sounds/]Звуки інтерфейсу[/url][/color] від [color=black]Kenney.nl[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/ciptuned-rock-tune]Чип-тюнінгова рок-мелодія[/url][/color] від [color=black]Bertsz[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/5-chiptunes-action]5 бойових чиптюнів[/url][/color] від [color=black]Джухані Джункала[/color]
 [color=#1ea7e1][url=https://oatorndevelopment.itch.io/godot-splash-boot-video] Відео заставки Godot[/url][/color] від [color=black]SwornDevelopment[/color]
 [color=#1ea7e1][url=https://orangefreesounds.com/goal-horn-sound-effect/]Звуковий ефект сигналу голу[/url][/color] від [color=black]Александера[/color]","[b]チーム:[/b]
  [color=#1ea7e1][url=https://www.snopekgames.com]Snopek Games[/url][/color] の [color=black]David Snopek[/color] : [color=black]プログラミングおよびデザイン[/color]
  [color=#1ea7e1][url=https://www.whatnotory.com/]Whatnotory[/url][/color] の [color=black]Ross Klettke[/color] : [color=black]追加アートスタイル[/color]
  [color=black]Theanyelpes[/color] ([color=#1ea7e1][url=https://twitter.com/Theanyelpes]Twitter[/url][/color]) : [color=black]スペイン語翻訳[/color]

[b]無料アセット:[/b]
  [color=black]Kenney.nl[/color] による [color=#1ea7e1][url=https://www.kenney.nl/assets/topdown-tanks-redux]Top-down Tanks Redux[/url][/color]
  [color=black]datagoblin[/color] による [color=#1ea7e1][url=https://datagoblin.itch.io/monogram]Monogram フォント[/url][/color]
  [color=black]Poppy Works[/color] による [color=#1ea7e1][url=https://poppyworks.itch.io/silver]Silver  フォント[/url][/color]
  [color=black]phoenix1291[/color] による [color=#1ea7e1][url=https://opengameart.org/content/sfx-the-ultimate-2017-16-bit-mini-pack]SFX: The Ultimate 2017 16 bit Mini pack[/url][/color] 
  [color=black]Nayckron[/color] による [color=#1ea7e1][url=https://opengameart.org/content/engine-loop-heavy-vehicletank]Engine-loop heavy vehicle/tank[/url][/color] 
  [color=black]Kenney.nl[/color] による [color=#1ea7e1][url=https://www.kenney.nl/assets/interface-sounds/]Interface Sounds[/url][/color]
  [color=black]Bertsz[/color] による [color=#1ea7e1][url=https://opengameart.org/content/ciptuned-rock-tune]Chiptuned Rock Tune[/url][/color]
  [color=black]Juhani Junkala[/color] による [color=#1ea7e1][url=https://opengameart.org/content/5-chiptunes-action]5 Action Chiptunes[/url][/color]
  [color=black]SwornDevelopment[/color] による [color=#1ea7e1][url=https://sworndevelopment.itch.io/godot-splash-boot-video]Godot Splash Boot Video[/url][/color]
  [color=black]Alexander[/color] による [color=#1ea7e1][url=https://orangefreesounds.com/goal-horn-sound-effect/]Goal Horn Sound Effect[/url][/color]","[b]团队：[/b]
  [color=black]David Snopek[/color] 来自 [color=#1ea7e1][url=https://www.snopekgames.com]Snopek游戏公司[/url][/color]： [color=black]编程和设计[/color]
  [color=black]Ross Klettke[/color] 来自 [color=#1ea7e1][url=https://www.whatnotory.com/]Whatnotory[/url][/color]： [color=black]其他艺术风格[/color]
  [color=black]Theanyelpes[/color] ([color=#1ea7e1][url=https://twitter.com/Theanyelpes]推特[/url][/color])： [color=black]西班牙语翻译[/color]

[b]免费资产：[/b]
  [color=#1ea7e1][url=https://www.kenney.nl/assets/topdown-tanks-redux]自上而下的坦克Redux[/url][/color] 由 [color=black]Kenney.nl创作[/color]
  [color=#1ea7e1][url=https://datagoblin.itch.io/monogram]会标字体[/url][/color] 由 [color=black]datagoblin创作[/color]
  [color=#1ea7e1][url=https://poppyworks.itch.io/silver]Silver字体[/url][/color] 由 [color=black]Poppy Works创作[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/sfx-the-ultimate-2017-16-bit-mini-pack]SFX：终极 2017 16 位迷你包[/url][/color] 由 [color=black]phoenix1291创作[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/engine-loop-heavy-vehicletank]Engine-loop重型车辆/坦克[/url][/color] 由 [color=black]奈克伦创作[/color]
  [color=#1ea7e1][url=https://www.kenney.nl/assets/interface-sounds/]界面声音[/url][/color] 由[color=black]Kenney.nl创作[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/ciptuned-rock-tune]芯片摇滚乐[/url][/color] 由 [color=black]Bertsz创作[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/5-chiptunes-action]5首动感芯片乐[/url][/color] 由 [color=black]尤哈尼·容卡拉创作[/color]
  [color=#1ea7e1][url=https://sworndevelopment.itch.io/godot-splash-boot-video]Godot 启动视频[/url][/color] 由 [color=black]SwornDevelopment创作[/color]
  [color=#1ea7e1][url=https://orangefreesounds.com/goal-horn-sound-effect/]得分喇叭音效[/url][/color] 由 [color=black]亚历山大创作[/color]","[b]團隊:[/b]
  [color=black]David Snopek[/color] 來自 [color=#1ea7e1][url=https://www.snopekgames.com]Snopek Games[/url][/color]: [color=black]計畫和設計[/color]
  [color=black]Ross Klettke[/color] 來自 [color=#1ea7e1][url=https://www.whatnotory.com/]Whatnotory[/url][/color]: [color=black] 添加的藝術風格[/color]
  [color=black]Theanyelpes[/color] ([color=#1ea7e1][url=https://twitter.com/Theanyelpes]Twitter[/url][/color]): [color=black] 西班牙文翻譯[/color]

[b]免費資產:[/b]
  [color=#1ea7e1][url=https://www.kenney.nl/assets/topdown-tanks-redux]從總體到細節的坦克 Redux[/url][/color] 藉由 [color=black]Kenney.nl[/color]
  [color=#1ea7e1][url=https://datagoblin.itch.io/monogram]Monogram font[/url][/color] 藉由 [color=black]datagoblin[/color]
  [color=#1ea7e1][url=https://poppyworks.itch.io/silver]Silver font[/url][/color] 藉由 [color=black]Poppy Works[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/sfx-the-ultimate-2017-16-bit-mini-pack]The Ultimate 2017 16 bit Mini pack[/url][/color] 藉由 [color=black]phoenix1291[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/engine-loop-heavy-vehicletank]循環發動機重型車輛/坦克[/url][/color] 藉由 [color=black]Nayckron[/color]
  [color=#1ea7e1][url=https://www.kenney.nl/assets/interface-sounds/]介面聲音[/url][/color] 藉由 [color=black]Kenney.nl[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/ciptuned-rock-tune]晶片音樂搖滾曲調[/url][/color] 藉由 [color=black]Bertsz[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/5-chiptunes-action]5 Action Chiptunes[/url][/color] 藉由 [color=black]Juhani Junkala[/color]
  [color=#1ea7e1][url=https://sworndevelopment.itch.io/godot-splash-boot-video]Godot Splash Boot 影片[/url][/color] 藉由 [color=black]SwornDevelopment[/color]
  [color=#1ea7e1][url=https://orangefreesounds.com/goal-horn-sound-effect/]球門喇叭聲效果[/url][/color] 藉由 [color=black]Alexander[/color]"
CHECKBOX_SAVE_CREDS,Save e-mail and password,Guardar e-mail y contraseña,Zapisz e-mail i hasło,E-Mail-Adresse und Passwort speichern,Сохранить эл. почту и пароль,Зберегти адресу електронної пошти та пароль,メールアドレスとパスワードを保存,保存邮箱地址及密码,儲存電子信箱和密碼
CONTROL_SCHEME_OPTION_MODERN,Modern,Moderno,Nowoczesny,Modern,Современная,Сучасна,モダン,现代,現代
CONTROL_SCHEME_OPTION_RETRO,Retro,Retro,Retro,Retro,Ретро,Ретро,レトロ,复古,復古
DEBUG_TITLE,Debug,Depuración,Debug,Debug,Отладка,Налагодження,デバッグ,调试,排除故障
EMAIL_FIELD_LABEL,E-mail:,E-mail:,E-mail:,E-Mail-Adresse:,Эл. почта:,Електронна пошта:,メールアドレス：,电子邮箱：,電子信箱：
GAME_ERROR_UNABLE_TO_LOAD_MAP,Unable to load map,Imposible cargar el mapa,Nie można załadować mapy,Karte kann nicht geladen werden,Не удалось загрузить карту,Не вдається завантажити карту,マップをロードできません,无法加载地图,無法載入地圖
GAMEPAD_DEVICE_OPTION_DEFAULT,Default,Por defecto,Domyślnie,Standard,По умолчанию,За умовчанням,デフォルト,默认,預設值
HEALTH_FIELD_LABEL,Health,Salud,Zdrowie,Gesundheit,Здоровье,Здоров’я,HP,健康,生命值
INVINCIBLE_FIELD_LABEL,Invincible,Invencibilidad,Niezwyciężony,Unbesiegbar,Непобедимый,Непереможний,無敵,无敌,無敵
LANGUAGE_OPTION_DEFAULT,Default,Por defecto,Domyślnie,Standard,По умолчанию,За умовчанням,デフォルト,默认,預設值
LANGUAGE_OPTION_ENGLISH,English,Inglés,Angielski,Englisch,Английский,Англійська,英語,英语,英文
LANGUAGE_OPTION_SPANISH,Spanish,Español,Hiszpański,Spanisch,Испанский,Іспанська,スペイン語,西班牙语,西班牙
MAP_NAME_BATTLEFIELD,Battlefield,Campo de batalla,Pole bitwy,Schlachtfeld,Поле битвы,Поле бою,戦場,战场,戰場
MAP_NAME_DESERT,Desert,Desierto,Pustynia,Wüste,Пустыня,Пустеля,砂漠,沙漠,沙漠
MAP_NAME_FOOTBALL,Football,Fútbol,Boisko,Fußball,Футбол,Футбол,フットボール,足球,橄欖球
MAP_NAME_MAZE,Maze,Laberinto,Labirynt,Labyrinth,Лабиринт,Лабіринт,迷路,迷宫,迷宮
MAP_TITLE,Map,Mapa,Mapa,Karte,Карта,Карта,マップ,地图,地圖
MATCH_ID_FIELD_LABEL,Match ID:,Match ID:,ID meczu:,Match-ID:,ID матча:,Ід. матчу:,マッチID：,比赛编号：,對戰 ID
MATCH_OPTION_CREATE,Create a private match,Crear una partida privada,Stwórz mecz prywatny,Privates Match erstellen,Создать закрытый матч,Створення приватного матчу,プライベートマッチを作成,创建一场私人比赛,建立私人對戰
MATCH_OPTION_CREATE_DESCRIPTION,Get a private match ID and send it to your friends.,Obtener un match ID privado y enviarlo a tus amigos,Uzyskaj ID meczu prywatnego i wyślij go do swoich znajomych.,Erhalte eine private Match-ID und schicke sie an deine Freunde.,Получи ID закрытого матча и отправь его своим друзьям.,Отримай ідентифікатор приватного матчу та надішли його своїм друзям.,プライベートマッチIDを入手して友人たちに送信しよう,获取一个私人比赛编号并发送给您的朋友们。,取得私人對戰ID，並傳送給你的朋友。
MATCH_OPTION_JOIN,Join a private match,Unirse a una partida privada,Dołącz do meczu prywatnego,Privatem Match beitreten,Вступить в закрытый матч,Приєднайся до приватного матчу,プライベートマッチに参加,加入私人比赛,參加私人對戰
MATCH_OPTION_JOIN_DESCRIPTION,Paste the private match ID that your friend sent you.,Pegar el match ID privado que tus amigos te enviaron.,Wklej ID meczu prywatnego wysłany przez znajomego.,"Füge die private Match-ID ein, die dir dein Freund geschickt hat.","Вставь ID закрытого матча, который тебе прислал друг.","Встав ідентифікатор приватного матчу, який надіслав тобі твій друг.",友人から送られたプライベートマッチIDをペーストしよう,粘贴您朋友发送给您的私人比赛编号,貼上你的朋友傳給你的私人對戰ID。
MATCH_OPTION_MATCHMAKER,Find a public match,Encontrar una partida pública,Znajdź mecz publiczny,Öffentliches Match finden,Найти открытый матч,Знайди загальнодоступний матч,公開マッチを探す,查找公开比赛,搜尋公開對戰
